frame,gridx,gridy,hand_value
390,5,2,1.4146924937671648e-07
390,5,3,3.810812043595278e-07
390,5,4,1.083105168886029e-07
390,5,5,4.99674574043389e-10
390,5,6,1.4204015995132995e-12
390,6,1,0.004347088417489985
390,6,2,0.042398782307470496
390,6,3,0.00915291795064468
390,6,4,0.0027390735507599896
390,6,5,0.0002564309676999816
390,6,6,3.228007796852119e-05
390,7,1,0.014626215793329551
390,7,2,0.14782383801591678
390,7,3,0.020340220217904024
390,7,4,0.004918667111997537
390,7,5,0.002388641401387166
390,7,6,0.0004842950052906173
390,8,1,0.0020227071600114597
390,8,2,0.02036409513552295
390,8,3,0.0005450795026963732
390,8,4,2.9898949169756607e-05
390,8,5,2.7653893427818856e-05
390,8,6,7.55380203512258e-06
450,1,1,6.694675706074975e-12
450,1,2,2.4206667995193426e-10
450,1,3,3.3598753130815383e-09
450,1,4,1.1433156921548314e-08
450,1,5,1.1038300972017906e-10
450,1,6,4.4409139463352635e-17
450,2,1,3.3414216749154495e-05
450,2,2,0.0016341565989366278
450,2,3,0.009828011253712292
450,2,4,0.007886705158162867
450,2,5,4.370002442310033e-05
450,2,6,1.932188384118631e-11
450,3,1,0.00017727245399811942
450,3,2,0.007830036214612686
450,3,3,0.06954595540775162
450,3,4,0.09368128779326546
450,3,5,0.0004328619499689629
450,3,6,1.4117353825014997e-10
450,4,1,1.310942531480809e-07
450,4,2,2.3243705926234406e-06
450,4,3,0.00010233326165137899
450,4,4,0.0002260017570589354
450,4,5,5.430697613648583e-06
450,4,6,4.684717788786647e-07
450,5,1,9.405124317381806e-10
450,5,2,8.453816373636001e-07
450,5,3,6.595259225467697e-06
450,5,4,0.00021505330965780717
450,5,5,0.0016416291588176805
450,5,6,3.962461168663073e-05
450,6,1,1.5641730392868733e-05
450,6,2,0.002733454054910019
450,6,3,0.012820945693909446
450,6,4,0.08375289788359043
450,6,5,0.06232459889409304
450,6,6,0.000155071397807895
450,7,1,1.4841628541971999e-05
450,7,2,0.0022514396012677696
450,7,3,0.0074581125759587835
450,7,4,0.024500369564316424
450,7,5,0.015967482687301457
450,7,6,0.00024236817943462205
450,8,1,1.4043558151233036e-06
450,8,2,0.00018457158115134741
450,8,3,0.0005008218034680405
450,8,4,0.0012677476310376187
450,8,5,0.0014936783722165907
450,8,6,4.223390442069298e-05
510,1,1,5.132017668469727e-25
510,1,2,9.072175706593737e-16
510,1,3,2.6391668465185573e-11
510,1,4,1.3662285490176976e-10
510,1,5,1.3903397621524803e-12
510,1,6,1.5730656780714257e-09
510,2,1,5.632625762848982e-20
510,2,2,9.906138505411207e-11
510,2,3,2.872779198766423e-06
510,2,4,1.4855233038535374e-05
510,2,5,4.437433491671326e-07
510,2,6,0.0002732402298295685
510,3,1,5.3657316486210907e-20
510,3,2,9.200520816463633e-11
510,3,3,2.6131300138036635e-06
510,3,4,1.3435177569630364e-05
510,3,5,0.002658481924249055
510,3,6,0.07347233656401908
510,4,1,1.3143672908915266e-24
510,4,2,1.9639536898875195e-15
510,4,3,8.494839547919802e-11
510,4,4,9.144998028279724e-05
510,4,5,0.028110843778585127
510,4,6,0.06168757230024702
510,5,1,2.443241507337885e-34
510,5,2,1.107871091903351e-19
510,5,3,1.0076986951696136e-09
510,5,4,0.00032060608761820585
510,5,5,0.015204615755762192
510,5,6,0.00250811505037979
510,6,1,9.195098624028709e-34
510,6,2,1.7784842659103212e-19
510,6,3,5.206986314762433e-10
510,6,4,3.4355870724310794e-05
510,6,5,0.000354465261534972
510,6,6,9.931442753216717e-06
510,7,1,1.2381638616203779e-36
510,7,2,1.6242560406734477e-22
510,7,3,2.4818720734091787e-13
510,7,4,2.8605593976103342e-08
510,7,5,7.164543605616709e-06
510,7,6,6.32449725984084e-06
510,8,1,5.904659513043771e-41
510,8,2,4.318862292423817e-24
510,8,3,3.3891792176540576e-12
510,8,4,3.551612607168681e-05
510,8,5,0.018188707748798785
510,8,6,0.06911476369907307
570,1,1,5.178838447165846e-72
570,1,2,1.3812947574409205e-50
570,1,3,5.9069923780530635e-34
570,1,4,3.2613000398670702e-21
570,1,5,3.189013100302388e-12
570,1,6,1.1005503271405366e-07
570,2,1,7.401029533488834e-62
570,2,2,6.361492135488124e-41
570,2,3,1.0849469300826632e-24
570,2,4,2.859497310453704e-13
570,2,5,1.6474973972492558e-06
570,2,6,0.0036695643532052447
570,3,1,8.825155598222177e-55
570,3,2,1.3039633713094526e-35
570,3,3,1.16637615125127e-20
570,3,4,3.3082275480088467e-10
570,3,5,0.0002797875395041986
570,3,6,0.03189138862906386
570,4,1,4.530835959631508e-50
570,4,2,1.5796225064552724e-31
570,4,3,1.0703886334774344e-17
570,4,4,1.1563036870950046e-08
570,4,5,0.0004549956183013246
570,4,6,0.00710194842404819
570,5,1,1.0160241770164226e-47
570,5,2,9.954722322327132e-30
570,5,3,1.1861619976242074e-16
570,5,4,2.3996354081154586e-08
570,5,5,0.00017745795751285905
570,5,6,0.0005671411935720066
570,6,1,8.615436280845269e-49
570,6,2,7.6538280596320904e-31
570,6,3,7.26051748701115e-18
570,6,4,8.38284310511793e-10
570,6,5,2.1179891014155514e-06
570,6,6,2.8897276015182627e-06
570,7,1,6.949686711173963e-56
570,7,2,6.06929508756137e-38
570,7,3,5.56459474766012e-25
570,7,4,2.314342269870875e-16
570,7,5,2.1936820596127135e-09
570,7,6,1.0777172068722964e-06
570,8,1,2.381919654206474e-62
570,8,2,1.5666830144807506e-40
570,8,3,1.1444519983265392e-23
570,8,4,9.886937538763438e-12
570,8,5,0.00012747950636838714
570,8,6,0.06843351939371928
630,1,1,1.0622216271395557e-24
630,1,2,1.2431107589405798e-14
